seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
6,cuda,512,unvalidated,0.7926666736602783,0.8802502155303955,0.5229591727256775,0.5486486554145813,1,0,0,0,0.07421875,0,0,0.27941176470588236,,,4024,512
6,cuda,512,joint,0.7926666736602783,0.8802502155303955,0.5229591727256775,0.5486486554145813,1,0,0,0,0.07421875,0,0,0.27941176470588236,,,4024,512
6,cuda,512,environment_oracle,0.9116666316986084,0.9798927903175354,0.9438775181770325,0.4648648798465729,3,0,0,0,0.0,0,0,,,,17048,5760
6,cuda,1024,single,0.8349999785423279,0.921805202960968,0.6147959232330322,0.5432432293891907,1,0,0,0,0.0,0,0,0.18093385214007782,,,5048,1024
6,cuda,1024,raw_loss,0.8236666321754456,0.9226988554000854,0.6045918464660645,0.4567567706108093,2,1,0,1,0.0908203125,1,0,0.1828793774319066,,-8.880241763885765,44466,39464
6,cuda,1024,expected_only,0.8349999785423279,0.921805202960968,0.6147959232330322,0.5432432293891907,1,0,0,0,0.125,0,0,0.033073929961089495,,,5048,1024
6,cuda,1024,unvalidated,0.8199999928474426,0.9137622714042664,0.6045918464660645,0.4810810983181,2,1,0,1,0.08203125,1,0,0.18482490272373542,,-21.976884258087427,44194,39064
6,cuda,1024,joint,0.8349999785423279,0.921805202960968,0.6147959232330322,0.5432432293891907,1,0,0,0,0.1142578125,2,1,0.16536964980544747,,-21.976884258087427,53595,47864
6,cuda,1024,environment_oracle,0.8613333106040955,0.907059907913208,0.964285671710968,0.47567570209503174,3,0,0,0,0.0,0,0,,,,19096,5760
6,cuda,1536,single,0.8690000176429749,0.9722967147827148,0.6045918464660645,0.524324357509613,1,0,0,0,0.0,0,0,0.18093385214007782,,,6072,1536
6,cuda,1536,raw_loss,0.859666645526886,0.9714030623435974,0.5969387888908386,0.46216216683387756,2,1,0,1,0.07291666666666667,1,0,0.14785992217898833,,-8.880241763885765,46002,39976
6,cuda,1536,expected_only,0.8690000176429749,0.9722967147827148,0.6045918464660645,0.524324357509613,1,0,0,0,0.16861979166666666,0,0,0.0019455252918287938,,,6072,1536
6,cuda,1536,unvalidated,0.8643333315849304,0.9740840196609497,0.5943877696990967,0.4864864945411682,2,1,0,1,0.055989583333333336,1,0,0.17898832684824903,,-21.976884258087427,45730,39576
6,cuda,1536,joint,0.8999999761581421,0.9718498587608337,0.8316326141357422,0.5378378629684448,2,1,1,0,0.09700520833333333,3,1,0.1926070038910506,10.50689469546482,-21.976884258087427,93749,86336
6,cuda,1536,environment_oracle,0.8840000033378601,0.9329758882522583,0.9821428656578064,0.4837837815284729,3,0,0,0,0.0,0,0,,,,21144,5760
7,cuda,512,single,0.7956666350364685,0.878330409526825,0.581333339214325,0.5120643377304077,1,0,0,0,0.0,0,0,0.39105058365758755,,,4024,512
7,cuda,512,raw_loss,0.7823333144187927,0.8703374862670898,0.5759999752044678,0.4584450423717499,2,1,0,0,0.119140625,1,0,0.351931330472103,,,30627,26412
7,cuda,512,expected_only,0.7956666350364685,0.878330409526825,0.581333339214325,0.5120643377304077,1,0,0,0,0.1875,0,0,0.2511961722488038,,,4024,512
7,cuda,512,unvalidated,0.7873333096504211,0.8738899230957031,0.5733333230018616,0.4798927903175354,2,1,0,0,0.123046875,1,0,0.34838709677419355,,,31039,26812
7,cuda,512,joint,0.7956666350364685,0.878330409526825,0.581333339214325,0.5120643377304077,1,0,0,0,0.16015625,1,0,0.33404255319148934,,,19927,15892
7,cuda,512,environment_oracle,0.9076666831970215,0.9738010764122009,0.9039999842643738,0.5120643377304077,3,0,0,0,0.0,0,0,,,,17048,5760
7,cuda,1024,single,0.8103333115577698,0.8992007374763489,0.5519999861717224,0.5335120558738708,1,0,0,0,0.0,0,0,0.1867704280155642,,,5048,1024
